Date,Open,High,Low,Close,Adj Close,Volume
2018-03-01,5.405001,5.410751,5.338876,5.372418,4.572341,41862797
2018-03-02,5.318751,5.326417,5.233459,5.255501,4.472835,68696470
2018-03-05,5.226751,5.294792,5.214292,5.275626,4.489964,50037939
2018-03-06,5.318751,5.336959,5.226751,5.226751,4.448367,60533613
2018-03-07,5.238251,5.258376,5.201834,5.231542,4.452445,37643584
2018-03-08,5.250709,5.292876,5.200876,5.242084,4.461417,80512599
2018-03-09,5.252626,5.269876,5.211417,5.231542,4.452445,31270086
2018-03-12,5.268917,5.285209,5.240167,5.254542,4.472020,64483128
2018-03-13,5.270834,5.317792,5.214292,5.225792,4.447551,62629319
2018-03-14,5.225792,5.225792,5.106959,5.128042,4.364359,59340366
2018-03-15,5.129001,5.148167,5.083001,5.112709,4.351308,48371794
2018-03-16,5.117501,5.249751,5.110792,5.213334,4.436948,128970874
2018-03-19,5.184584,5.226751,5.107917,5.135709,4.370883,38550877
2018-03-20,5.172126,5.175001,5.105042,5.141459,4.375777,49912109
2018-03-21,5.155834,5.155834,5.062876,5.099292,4.339890,52310846
2018-03-22,5.073417,5.135709,4.937334,4.992917,4.249357,72970266
2018-03-23,4.973751,4.996751,4.935417,4.964167,4.224888,64785158
2018-03-26,4.982376,5.075334,4.955542,5.005376,4.259960,61205604
2018-03-27,5.088751,5.093542,5.010167,5.042751,4.291769,87294505
2018-03-28,4.983334,5.027417,4.921042,5.027417,4.278719,55677182
2018-03-29,5.079167,5.119417,5.051376,5.074376,4.318685,49655362
2018-04-03,5.040834,5.069584,4.984292,5.012084,4.265669,41049075
2018-04-04,5.012084,5.019751,4.892292,4.986209,4.243648,54691420
2018-04-05,5.057126,5.194167,5.050417,5.172126,4.401877,52768408
2018-04-06,5.139542,5.164459,5.089709,5.114626,4.352940,40855435
2018-04-09,5.148167,5.171167,5.114626,5.136667,4.371699,37707466
2018-04-10,5.160626,5.174042,5.111751,5.126126,4.362727,34012745
2018-04-11,5.107917,5.149126,5.085876,5.101209,4.341521,33075960
2018-04-12,5.099292,5.152959,5.086834,5.120376,4.357834,28633841
2018-04-13,5.133792,5.242084,5.114626,5.145292,4.379039,39939327
2018-04-16,5.143376,5.194167,5.143376,5.161584,4.392906,64746965
2018-04-17,5.189376,5.230584,5.171167,5.179792,4.408401,56769901
2018-04-18,5.187459,5.254542,5.175001,5.239209,4.458970,214445656
2018-04-19,5.223876,5.275626,5.223876,5.275626,4.489964,123930545
2018-04-20,5.246876,5.279459,5.236334,5.278501,4.492410,210085354
2018-04-23,5.280417,5.341751,5.263167,5.341751,4.546241,540646591
2018-04-24,5.333126,5.336959,5.132834,5.168292,4.398614,284542166
2018-04-25,5.127084,5.152001,5.057126,5.152001,4.384748,182000239
2018-04-26,5.143376,5.176917,5.105042,5.132834,4.368437,42711063
2018-04-27,5.091626,5.113667,5.062876,5.094501,4.384934,132216216
2018-04-30,5.089709,5.149126,5.083959,5.149126,4.431951,367537636
2018-05-02,5.135709,5.189376,5.133792,5.173084,4.452573,334938054
2018-05-03,5.165417,5.190334,5.093542,5.113667,4.401431,272034720
2018-05-04,5.106001,5.154876,5.080126,5.152001,4.434425,36146826
2018-05-07,5.162542,5.179792,5.132834,5.155834,4.437724,98407466
2018-05-08,5.153917,5.197042,5.103126,5.159667,4.441024,71875851
2018-05-09,5.165417,5.221959,5.160626,5.208542,4.483091,67663940
2018-05-10,5.228667,5.257417,5.186501,5.257417,4.525159,39543628
2018-05-11,5.261251,5.297667,5.245917,5.288084,4.551555,47343736
2018-05-14,5.284251,5.306292,5.247834,5.276584,4.541656,33617080
2018-05-15,5.262209,5.295751,5.205667,5.239209,4.509487,40967937
2018-05-16,5.210459,5.232501,5.090667,5.106959,4.395657,57060908
2018-05-17,5.115584,5.139542,5.085876,5.129001,4.414629,44953761
2018-05-18,5.113667,5.120376,4.971834,4.989084,4.294200,94356013
2018-05-21,5.023584,5.028376,4.941167,4.953626,4.263681,31295428
2018-05-22,4.977584,5.066709,4.950751,5.038917,4.337092,37552042
2018-05-23,5.030292,5.030292,4.911459,4.945001,4.256257,46495774
2018-05-24,4.954584,4.976626,4.883667,4.912417,4.228212,42920774
2018-05-25,4.935417,4.935417,4.692480,4.782084,4.116030,95735959
2018-05-28,4.840542,4.857792,4.667084,4.684334,4.031895,56558451
2018-05-29,4.580834,4.580834,4.367126,4.429896,3.812896,155994735
2018-05-30,4.483084,4.540584,4.383417,4.479251,3.855377,111352483
2018-05-31,4.541542,4.608626,4.349396,4.408334,3.794337,115154834
2018-06-01,4.488834,4.602396,4.434209,4.554480,3.920128,90045050
2018-06-04,4.619167,4.644084,4.526688,4.575563,3.938275,45443756
2018-06-05,4.563584,4.627313,4.498417,4.498417,3.871874,46262718
